Time,Open,High,Low,Close,Volume
01.01.2000 08:00:00.000,1.00590,1.00590,1.00590,1.00590,0.00
02.01.2000 08:00:00.000,1.00640,1.02800,1.00530,1.02430,63308.00
03.01.2000 08:00:00.000,1.02420,1.03420,1.02160,1.02950,44603.00
04.01.2000 08:00:00.000,1.02940,1.04010,1.02860,1.03210,36929.00
05.01.2000 08:00:00.000,1.03230,1.04140,1.02750,1.03240,63308.00
06.01.2000 08:00:00.000,1.03250,1.03310,1.02580,1.02960,37409.00
07.01.2000 08:00:00.000,1.02960,1.02960,1.02960,1.02960,0.00
08.01.2000 08:00:00.000,1.02960,1.02960,1.02960,1.02960,0.00
09.01.2000 08:00:00.000,1.02830,1.03000,1.02130,1.02530,46522.00
10.01.2000 08:00:00.000,1.02560,1.03400,1.02490,1.03230,59471.00
11.01.2000 08:00:00.000,1.03320,1.03680,1.02620,1.03110,36450.00
12.01.2000 08:00:00.000,1.03100,1.03170,1.02390,1.02590,27337.00
13.01.2000 08:00:00.000,1.02550,1.02700,1.01170,1.01220,49879.00
14.01.2000 08:00:00.000,1.01220,1.01220,1.01220,1.01220,0.00
15.01.2000 08:00:00.000,1.01220,1.01220,1.01220,1.01220,0.00
16.01.2000 08:00:00.000,1.01220,1.01220,1.01220,1.01220,0.00
17.01.2000 08:00:00.000,1.01210,1.01390,1.00730,1.01310,47001.00
18.01.2000 08:00:00.000,1.01350,1.01630,1.00870,1.01300,43164.00
19.01.2000 08:00:00.000,1.01310,1.01870,1.00760,1.01710,61390.00
20.01.2000 08:00:00.000,1.01710,1.01900,1.00210,1.00900,37409.00
21.01.2000 08:00:00.000,1.00900,1.00900,1.00900,1.00900,0.00
22.01.2000 08:00:00.000,1.00900,1.00900,1.00900,1.00900,0.00
23.01.2000 08:00:00.000,1.00240,1.00750,1.00000,1.00700,60910.00
24.01.2000 08:00:00.000,1.00710,1.00930,0.99950,1.00100,61390.00
25.01.2000 08:00:00.000,1.00070,1.00520,0.99970,1.00140,36450.00
26.01.2000 08:00:00.000,1.00160,1.00260,0.98690,0.98810,22062.00
27.01.2000 08:00:00.000,0.98800,0.98920,0.97370,0.97480,52757.00
28.01.2000 08:00:00.000,0.97480,0.97480,0.97480,0.97480,0.00
29.01.2000 08:00:00.000,0.97480,0.97480,0.97480,0.97480,0.00
30.01.2000 08:00:00.000,0.97800,0.98270,0.96690,0.97000,28776.00
31.01.2000 08:00:00.000,0.97060,0.97800,0.96700,0.97160,43644.00
01.02.2000 08:00:00.000,0.97090,0.98060,0.96970,0.97620,57073.00
02.02.2000 08:00:00.000,0.97600,0.99470,0.97120,0.99060,46522.00
03.02.2000 08:00:00.000,0.99010,0.99380,0.97500,0.98260,32613.00
